                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62849,                 2.2937,                 1.4457,                0.29519,                0.36787,                0.26805,                0.17864,                0.79095,                 2.5688,                 1.6764,               0.059035,             0.00060273,             0.00060273
                      2,                0.64235,                  1.854,                 1.4594,                0.33728,                0.34638,                0.28388,                0.16712,                 0.9239,                  2.477,                 1.9963,               0.017891,              0.0011959,              0.0011959
                      3,                0.62551,                 1.6992,                 1.4406,                0.42124,                0.51497,                0.45914,                0.32517,                0.69907,                 1.9097,                 1.5388,              0.0014211,              0.0014211,              0.0014211
                      4,                0.58143,                 1.5399,                 1.3892,                 0.5103,                 0.5244,                0.52222,                0.41024,                0.59816,                 1.6575,                 1.3524,              0.0014211,              0.0014211,              0.0014211
                      5,                0.56384,                 1.4088,                 1.3639,                0.69368,                0.58817,                0.63002,                  0.482,                0.57437,                 1.4472,                 1.3246,              0.0014067,              0.0014067,              0.0014067
                      6,                0.54743,                 1.3418,                 1.3501,                  0.469,                0.52111,                0.48987,                0.37125,                0.61593,                 2.0055,                 1.3963,              0.0013923,              0.0013923,              0.0013923
                      7,                0.52582,                 1.2423,                 1.3224,                0.68702,                0.65049,                0.69769,                0.53245,                0.58314,                 1.2256,                 1.3115,              0.0013778,              0.0013778,              0.0013778
                      8,                0.51818,                 1.1925,                 1.3094,                0.68712,                0.58434,                0.65108,                0.48183,                0.59628,                 1.5016,                 1.3594,              0.0013634,              0.0013634,              0.0013634
                      9,                0.50284,                  1.137,                 1.2912,                0.72411,                0.63142,                0.70393,                0.55267,                0.54428,                 1.3188,                 1.2507,               0.001349,               0.001349,               0.001349
                     10,                0.50329,                  1.118,                 1.2864,                0.77902,                0.65128,                0.75392,                0.60007,                 0.4893,                 1.0723,                 1.1807,              0.0013345,              0.0013345,              0.0013345
                     11,                0.49124,                 1.0585,                 1.2735,                0.66503,                 0.6148,                0.66079,                0.51586,                 0.5556,                 1.3055,                 1.2675,              0.0013201,              0.0013201,              0.0013201
                     12,                0.48202,                 1.0249,                 1.2575,                0.75964,                0.67711,                0.75238,                0.60906,                0.49888,                 1.0719,                 1.2027,              0.0013056,              0.0013056,              0.0013056
                     13,                0.47785,                0.99826,                 1.2549,                 0.6707,                0.69498,                0.73631,                0.57379,                0.54137,                 1.1551,                  1.257,              0.0012912,              0.0012912,              0.0012912
                     14,                0.47337,                0.97303,                 1.2528,                0.74538,                0.67346,                 0.7535,                0.60169,                0.48236,                 1.0868,                 1.1763,              0.0012768,              0.0012768,              0.0012768
                     15,                0.46573,                0.94038,                 1.2323,                0.76284,                0.75696,                0.80467,                0.64989,                0.47524,                0.96575,                 1.1554,              0.0012623,              0.0012623,              0.0012623
                     16,                0.46353,                0.91762,                 1.2333,                0.76009,                0.71011,                 0.7699,                0.62721,                0.46979,                 1.0403,                 1.1573,              0.0012479,              0.0012479,              0.0012479
                     17,                0.45607,                0.89228,                 1.2239,                0.82904,                0.72541,                0.82099,                 0.6671,                0.46935,                0.92045,                 1.1391,              0.0012335,              0.0012335,              0.0012335
                     18,                0.44611,                0.85239,                  1.219,                0.76484,                0.69951,                0.78087,                0.63834,                0.48456,                0.95595,                  1.176,               0.001219,               0.001219,               0.001219
                     19,                 0.4484,                0.85436,                 1.2199,                0.72286,                 0.7192,                0.77902,                0.62532,                 0.4771,                 1.0791,                 1.1636,              0.0012046,              0.0012046,              0.0012046
                     20,                0.44071,                  0.831,                 1.2093,                0.80469,                 0.7518,                0.81058,                0.66539,                0.45994,                0.90776,                 1.1225,              0.0011902,              0.0011902,              0.0011902
                     21,                0.43971,                0.82329,                   1.21,                0.77207,                0.67271,                0.78424,                  0.634,                0.47683,                 1.0079,                 1.1578,              0.0011757,              0.0011757,              0.0011757
                     22,                0.42774,                0.78582,                 1.1923,                0.85295,                0.73482,                0.83404,                 0.6894,                0.45624,                0.84972,                 1.1377,              0.0011613,              0.0011613,              0.0011613
                     23,                0.42695,                0.77993,                 1.1935,                 0.7415,                 0.6475,                0.70518,                0.55668,                0.50988,                 1.0534,                 1.2125,              0.0011469,              0.0011469,              0.0011469
                     24,                0.42667,                0.76495,                 1.1941,                0.82701,                0.75346,                0.82227,                0.68542,                0.44457,                0.83621,                 1.1081,              0.0011324,              0.0011324,              0.0011324
                     25,                0.42283,                0.75733,                 1.1925,                0.83002,                0.75515,                0.83698,                0.68786,                0.44537,                0.84858,                 1.1146,               0.001118,               0.001118,               0.001118
                     26,                0.42393,                0.73775,                 1.1858,                0.83357,                0.77084,                0.84122,                0.69578,                0.44587,                0.83955,                 1.1065,              0.0011035,              0.0011035,              0.0011035
                     27,                0.41821,                0.72745,                 1.1798,                0.79837,                0.78172,                0.83533,                0.69399,                0.43507,                 0.7879,                  1.086,              0.0010891,              0.0010891,              0.0010891
                     28,                0.41452,                0.72378,                 1.1766,                0.79744,                0.77721,                0.82926,                0.69772,                0.43198,                0.82522,                 1.0977,              0.0010747,              0.0010747,              0.0010747
                     29,                0.41634,                 0.7141,                  1.179,                0.79522,                0.79505,                0.84748,                0.70775,                0.42782,                0.81055,                 1.0837,              0.0010602,              0.0010602,              0.0010602
                     30,                0.40613,                0.69369,                 1.1659,                0.84759,                0.75573,                 0.8263,                0.68704,                 0.4444,                0.86256,                 1.1067,              0.0010458,              0.0010458,              0.0010458
                     31,                0.40334,                0.68642,                 1.1607,                0.80708,                0.77742,                0.82578,                0.69092,                 0.4414,                 0.8164,                 1.0991,              0.0010314,              0.0010314,              0.0010314
                     32,                0.40363,                0.66754,                 1.1641,                0.81215,                0.78353,                0.83213,                0.70331,                0.43234,                0.82517,                 1.0797,              0.0010169,              0.0010169,              0.0010169
                     33,                0.39986,                0.65575,                 1.1576,                0.81909,                0.81965,                 0.8598,                 0.7162,                0.42814,                0.77777,                 1.0811,              0.0010025,              0.0010025,              0.0010025
                     34,                0.39541,                0.64562,                 1.1574,                0.82276,                0.80764,                0.86218,                0.71975,                0.42123,                0.75118,                 1.0728,             0.00098806,             0.00098806,             0.00098806
                     35,                0.39138,                0.63492,                 1.1482,                0.80216,                0.76833,                0.82447,                0.67766,                0.44753,                0.88085,                 1.1098,             0.00097362,             0.00097362,             0.00097362
                     36,                0.39271,                0.63839,                 1.1474,                0.83241,                0.78963,                0.85495,                0.71855,                0.42803,                0.74697,                 1.0835,             0.00095919,             0.00095919,             0.00095919
                     37,                0.38704,                0.62841,                 1.1412,                0.84097,                0.76498,                 0.8523,                0.72034,                  0.417,                  0.771,                 1.0656,             0.00094475,             0.00094475,             0.00094475
                     38,                0.38394,                0.61294,                 1.1376,                0.85998,                0.77716,                0.86015,                0.72606,                  0.424,                 0.7904,                 1.0779,             0.00093032,             0.00093032,             0.00093032
                     39,                 0.3827,                0.61031,                 1.1356,                 0.8339,                0.82926,                0.86548,                0.73571,                0.42302,                0.72689,                 1.0735,             0.00091588,             0.00091588,             0.00091588
                     40,                0.37908,                0.60078,                 1.1332,                0.83772,                0.80435,                0.85254,                 0.7185,                0.42054,                0.73763,                 1.0741,             0.00090145,             0.00090145,             0.00090145
                     41,                0.37883,                0.59294,                 1.1326,                 0.8564,                0.80733,                0.86491,                0.73186,                 0.4218,                0.74913,                 1.0738,             0.00088701,             0.00088701,             0.00088701
                     42,                0.38106,                0.59487,                 1.1288,                0.86552,                0.78891,                0.85357,                0.72987,                0.41789,                0.73953,                 1.0721,             0.00087258,             0.00087258,             0.00087258
                     43,                0.37255,                0.56851,                 1.1243,                0.84641,                0.82092,                0.86556,                0.73417,                0.41836,                0.73857,                 1.0589,             0.00085814,             0.00085814,             0.00085814
                     44,                0.37468,                0.57681,                 1.1263,                0.86147,                0.78232,                0.86363,                0.73096,                0.42218,                0.73372,                 1.0838,              0.0008437,              0.0008437,              0.0008437
                     45,                0.37302,                0.56885,                 1.1292,                0.84428,                0.82381,                0.86805,                0.73999,                0.40518,                0.72143,                 1.0501,             0.00082927,             0.00082927,             0.00082927
                     46,                0.36574,                0.56083,                 1.1188,                 0.8613,                0.79983,                0.86338,                0.73135,                0.41631,                0.75783,                 1.0634,             0.00081483,             0.00081483,             0.00081483
                     47,                0.36628,                0.55889,                 1.1193,                0.86458,                0.82628,                0.87354,                0.74444,                0.41396,                0.71628,                 1.0617,              0.0008004,              0.0008004,              0.0008004
                     48,                0.36223,                0.55547,                 1.1123,                0.87027,                0.76238,                0.85941,                0.72581,                  0.412,                0.75495,                 1.0573,             0.00078596,             0.00078596,             0.00078596
                     49,                0.36474,                0.55546,                 1.1113,                0.86804,                0.79691,                0.86529,                0.73801,                0.40695,                0.75844,                 1.0525,             0.00077153,             0.00077153,             0.00077153
                     50,                0.35825,                0.54545,                  1.106,                0.87613,                0.79599,                0.86726,                0.74704,                0.39754,                0.71596,                 1.0447,             0.00075709,             0.00075709,             0.00075709
                     51,                0.35786,                0.54275,                  1.104,                0.87276,                0.78273,                0.86706,                0.74368,                0.40751,                0.73065,                 1.0579,             0.00074265,             0.00074265,             0.00074265
                     52,                0.35697,                0.52864,                 1.0996,                0.89992,                0.79274,                0.86809,                0.74579,                 0.4115,                0.69052,                 1.0651,             0.00072822,             0.00072822,             0.00072822
                     53,                0.35439,                0.52496,                 1.1049,                0.83373,                0.81045,                0.85102,                0.73419,                0.40787,                0.75531,                 1.0635,             0.00071378,             0.00071378,             0.00071378
                     54,                0.34983,                0.51888,                 1.0998,                0.83459,                0.82232,                 0.8722,                0.74796,                0.40278,                0.71176,                  1.047,             0.00069935,             0.00069935,             0.00069935
                     55,                0.35986,                0.52779,                 1.1092,                 0.8616,                0.82811,                0.86945,                0.74217,                 0.4034,                0.70457,                 1.0506,             0.00068491,             0.00068491,             0.00068491
                     56,                0.34992,                0.51488,                 1.0987,                0.87571,                0.79318,                 0.8674,                0.74569,                0.40369,                0.72652,                 1.0566,             0.00067048,             0.00067048,             0.00067048
                     57,                0.35163,                0.50782,                 1.0968,                0.87822,                0.79829,                0.87256,                0.75592,                0.40041,                0.68982,                 1.0494,             0.00065604,             0.00065604,             0.00065604
                     58,                0.34524,                0.50867,                   1.09,                0.86351,                0.81644,                0.87594,                0.75256,                0.39699,                0.69184,                 1.0374,             0.00064161,             0.00064161,             0.00064161
                     59,                0.34457,                0.49433,                 1.0908,                0.87078,                0.83327,                0.88429,                0.75924,                0.39778,                0.67625,                 1.0434,             0.00062717,             0.00062717,             0.00062717
                     60,                0.33708,                 0.4911,                 1.0866,                 0.8996,                0.78845,                0.87469,                 0.7557,                0.40124,                0.68795,                 1.0457,             0.00061273,             0.00061273,             0.00061273
                     61,                0.34585,                0.48648,                 1.0866,                0.87669,                0.81899,                0.88427,                0.76118,                 0.4012,                0.66079,                 1.0434,              0.0005983,              0.0005983,              0.0005983
                     62,                0.34193,                0.48505,                 1.0833,                0.86804,                0.82692,                0.88303,                0.76413,                0.40105,                0.66928,                 1.0454,             0.00058386,             0.00058386,             0.00058386
                     63,                0.34007,                0.47959,                 1.0882,                0.87093,                 0.8291,                0.88127,                0.76206,                0.39199,                0.65738,                 1.0347,             0.00056943,             0.00056943,             0.00056943
                     64,                0.33679,                0.48364,                 1.0831,                0.89361,                0.78641,                0.88176,                0.76216,                0.40012,                0.66674,                 1.0468,             0.00055499,             0.00055499,             0.00055499
                     65,                 0.3371,                0.47914,                 1.0808,                0.86249,                0.83497,                0.89015,                0.76938,                0.40053,                0.65895,                 1.0446,             0.00054056,             0.00054056,             0.00054056
                     66,                0.33132,                0.46939,                 1.0759,                0.89374,                0.78744,                0.87128,                0.75819,                0.40501,                0.69751,                 1.0543,             0.00052612,             0.00052612,             0.00052612
                     67,                0.33032,                 0.4661,                 1.0737,                0.89855,                0.80003,                0.87836,                0.76054,                 0.4018,                0.68406,                 1.0482,             0.00051168,             0.00051168,             0.00051168
                     68,                0.32768,                0.45864,                 1.0724,                0.89686,                0.81771,                0.88617,                0.76956,                0.39761,                0.67137,                 1.0455,             0.00049725,             0.00049725,             0.00049725
                     69,                0.32797,                 0.4593,                 1.0677,                0.88861,                0.82126,                0.88382,                0.76534,                0.39353,                0.67613,                 1.0407,             0.00048281,             0.00048281,             0.00048281
                     70,                0.32327,                0.44878,                 1.0698,                0.89818,                 0.8021,                 0.8799,                0.76322,                0.39193,                0.67063,                 1.0332,             0.00046838,             0.00046838,             0.00046838
                     71,                0.31941,                0.44891,                 1.0643,                0.87922,                0.80868,                0.88012,                0.76116,                0.39553,                0.66918,                 1.0432,             0.00045394,             0.00045394,             0.00045394
                     72,                0.31773,                0.44278,                 1.0559,                0.88368,                0.79908,                0.87854,                 0.7625,                0.39674,                0.69198,                 1.0521,             0.00043951,             0.00043951,             0.00043951
                     73,                0.32035,                0.44512,                  1.058,                0.85965,                0.83048,                 0.8804,                 0.7667,                0.39252,                0.69109,                 1.0428,             0.00042507,             0.00042507,             0.00042507
                     74,                0.31611,                0.44496,                  1.064,                0.88456,                 0.8165,                0.88501,                0.76911,                0.39539,                0.66521,                 1.0442,             0.00041064,             0.00041064,             0.00041064
                     75,                0.31723,                0.44159,                 1.0562,                0.89245,                0.80103,                0.87291,                0.76211,                0.39213,                0.68595,                 1.0415,              0.0003962,              0.0003962,              0.0003962
                     76,                0.31446,                0.43488,                 1.0565,                 0.9035,                0.81575,                0.88405,                 0.7664,                0.38796,                0.67995,                 1.0296,             0.00038176,             0.00038176,             0.00038176
                     77,                0.31336,                0.43786,                 1.0579,                0.87955,                0.82284,                0.88122,                0.76524,                 0.3941,                0.68932,                 1.0418,             0.00036733,             0.00036733,             0.00036733
                     78,                0.30986,                0.42108,                 1.0506,                0.86442,                0.81761,                0.87572,                0.76111,                0.40031,                0.68132,                 1.0522,             0.00035289,             0.00035289,             0.00035289
                     79,                 0.3064,                0.41683,                 1.0471,                0.88698,                0.80903,                0.87639,                0.76143,                0.40094,                0.68828,                 1.0488,             0.00033846,             0.00033846,             0.00033846
                     80,                0.30743,                0.42747,                 1.0523,                0.86951,                 0.8166,                0.87602,                0.76232,                0.39671,                0.67862,                 1.0524,             0.00032402,             0.00032402,             0.00032402
                     81,                0.30345,                0.41464,                 1.0483,                0.89107,                0.80088,                0.87508,                0.75991,                0.39908,                0.67752,                 1.0511,             0.00030959,             0.00030959,             0.00030959
                     82,                0.30167,                0.41004,                 1.0409,                0.84175,                0.85551,                0.87811,                0.76626,                0.39677,                0.67281,                 1.0475,             0.00029515,             0.00029515,             0.00029515
                     83,                0.29609,                0.39924,                 1.0395,                0.84807,                 0.8461,                0.88137,                0.76909,                0.39321,                0.66695,                 1.0409,             0.00028071,             0.00028071,             0.00028071
                     84,                0.29887,                0.40145,                 1.0423,                0.89729,                0.81146,                0.87958,                0.76527,                0.39928,                0.69148,                 1.0488,             0.00026628,             0.00026628,             0.00026628
                     85,                0.29949,                0.40476,                 1.0391,                0.86601,                0.83434,                0.87958,                0.76405,                0.39961,                0.69647,                 1.0509,             0.00025184,             0.00025184,             0.00025184
                     86,                0.29917,                0.40664,                 1.0408,                0.89915,                0.82088,                0.88235,                0.76918,                0.39754,                0.68192,                 1.0479,             0.00023741,             0.00023741,             0.00023741
                     87,                0.29571,                0.40134,                 1.0346,                0.90422,                0.80179,                0.87885,                0.76721,                 0.3934,                0.69781,                 1.0407,             0.00022297,             0.00022297,             0.00022297
                     88,                0.29664,                0.39668,                 1.0427,                0.91391,                0.81214,                0.88063,                0.77012,                0.39027,                0.68081,                 1.0344,             0.00020854,             0.00020854,             0.00020854
                     89,                0.29387,                0.39668,                 1.0385,                0.90245,                0.81832,                0.88101,                 0.7663,                0.39031,                0.68771,                 1.0358,              0.0001941,              0.0001941,              0.0001941
